Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,SOS
Dionte Christmas,Temple,130,98,29.6,5.0,11.8,.426,2.6,5.0,.516,2.5,6.8,.360,3.2,4.2,.778,1.0,3.4,4.4,2.0,1.2,0.2,2.2,15.7,3.89
Ian Clark,Belmont,133,131,28.7,5.1,10.6,.484,2.6,4.6,.563,2.6,6.0,.425,1.6,2.0,.810,0.5,2.4,2.9,2.2,1.2,0.2,2.1,14.4,-2.50
Robert Covington,Tennessee State,118,111,30.0,5.3,11.1,.476,3.7,7.4,.502,1.5,3.7,.422,2.7,3.4,.802,2.6,4.8,7.4,1.2,1.5,1.3,2.3,14.8,-2.86
Allen Crabbe,California,98,97,34.7,5.4,12.2,.446,3.3,6.6,.500,2.1,5.6,.382,2.7,3.3,.819,0.9,4.8,5.7,2.2,0.9,0.6,1.9,15.7,7.16
Seth Curry,Duke,106,86,29.1,4.1,9.4,.439,2.0,4.4,.462,2.1,5.0,.420,2.8,3.3,.825,0.6,1.7,2.3,2.0,1.2,0.2,1.4,13.2,
Troy Daniels,VCU,125,57,16.9,2.4,6.1,.389,0.4,0.9,.404,2.0,5.2,.386,0.5,0.7,.782,0.5,1.6,2.1,0.4,0.6,0.1,0.6,7.3,2.38
Brandon Davies,BYU,135,98,24.1,4.5,8.6,.522,4.5,8.5,.525,0.0,0.1,.333,3.4,5.1,.660,1.8,4.4,6.2,1.6,1.0,0.9,2.1,12.4,3.51
Dewayne Dedmon,USC,51,49,22.7,3.0,5.8,.520,3.0,5.7,.528,0.0,0.1,.000,1.1,1.7,.614,2.3,4.0,6.4,0.5,0.9,1.7,1.5,7.1,7.41
Matthew Dellavedova,Saint Mary's,136,132,36.4,4.3,10.5,.415,2.2,4.9,.456,2.1,5.6,.378,3.4,4.0,.860,0.8,2.6,3.4,5.6,1.1,0.1,2.5,14.2,2.06
Gorgui Dieng,Louisville,102,81,27.3,3.3,6.1,.545,3.3,6.0,.546,0.0,0.0,.333,1.7,2.7,.640,3.0,4.9,7.9,1.2,1.0,2.6,1.6,8.3,8.78
Shane Edwards,Little Rock,62,52,22.8,3.2,6.9,.472,2.8,5.4,.521,0.5,1.5,.298,2.1,3.2,.642,1.6,3.0,4.7,1.0,0.8,0.6,1.7,9.0,-3.99
Carrick Felix,Arizona State,94,69,27.9,3.6,8.0,.456,2.6,4.7,.545,1.1,3.2,.326,1.9,2.6,.704,1.3,3.5,4.8,1.3,1.0,0.8,1.7,10.2,5.37
Jamaal Franklin,San Diego State,85,54,25.9,4.3,10.0,.426,3.1,6.2,.504,1.2,3.8,.302,4.0,5.1,.780,1.5,5.5,7.0,1.9,1.0,0.6,2.6,13.7,5.45
Archie Goodwin,Kentucky,33,33,31.8,4.8,10.8,.440,4.2,8.9,.478,0.5,1.9,.266,4.1,6.4,.637,1.5,3.2,4.6,2.7,1.1,0.5,3.1,14.1,5.78
Jorge Gutierrez,California,129,79,26.6,3.2,7.4,.430,2.5,5.5,.461,0.7,1.9,.340,2.5,3.4,.737,0.7,3.1,3.8,3.3,1.1,0.1,2.1,9.6,7.29
Justin Hamilton,Florida,113,73,31.2,2.6,5.4,.489,2.0,3.3,.589,0.7,2.1,.331,0.9,1.2,.739,0.8,2.3,2.6,2.7,1.5,0.3,1.5,6.9,8.03
Tim Hardaway,UTEP,124,92,28.8,4.6,9.4,.486,4.8,9.4,.512,0.7,2.0,.352,3.0,4.2,.718,,,2.6,4.5,2.1,0.2,2.0,12.8,2.63
Elias Harris,Gonzaga,135,133,28.0,4.9,9.5,.517,4.4,7.9,.550,0.6,1.6,.356,3.3,4.6,.723,2.0,5.3,7.3,1.3,0.9,0.5,1.8,13.8,3.82
Solomon Hill,Arizona,139,129,29.0,3.5,7.3,.481,2.7,5.1,.528,0.8,2.2,.375,2.5,3.3,.745,1.8,3.8,5.6,2.2,0.9,0.4,2.1,10.3,7.05
Scotty Hopson,Tennessee,103,98,26.8,4.6,10.4,.444,3.1,6.3,.502,1.5,4.1,.354,2.0,3.0,.671,0.8,2.3,3.1,1.3,0.8,0.2,2.1,12.7,8.06
Robbie Hummel,Purdue,127,120,30.2,4.6,10.4,.443,2.9,6.0,.483,1.7,4.4,.389,3.1,3.7,.841,1.9,4.9,6.8,2.1,1.0,0.9,1.1,14.0,7.48
Ryan Kelly,Eastern Illinois,41,0,16.3,0.7,1.2,.529,0.7,1.2,.540,0.0,0.0,.000,0.4,0.9,.474,0.7,1.2,1.9,0.4,0.2,0.3,0.6,1.8,-2.08
Shane Larkin,Miami (FL),68,54,31.3,3.8,8.6,.438,2.3,4.6,.491,1.5,4.0,.375,2.2,2.7,.808,0.5,2.7,3.2,3.6,1.8,0.1,2.1,11.2,7.03
Alex Len,Maryland,60,48,24.5,3.8,7.0,.538,3.7,6.8,.548,0.0,0.2,.111,2.2,3.3,.663,2.4,4.5,7.0,0.8,0.2,2.1,1.6,9.7,5.32
Ray McCallum,,Ball State,,115,,36.2,7.4,14.5,.507,,,,,,,3.6,4.5,.804,2.1,2.4,1.3,0.2,1.9,18.3,-1.54
CJ McCollum,Lehigh,111,108,32.9,6.9,15.7,.439,5.0,10.5,.470,2.0,5.2,.377,5.5,6.7,.825,1.5,4.8,6.3,2.7,2.1,0.5,2.4,21.3,-5.41
Ben McLemore,Kansas,37,36,32.2,5.4,10.8,.495,3.4,6.1,.553,2.0,4.7,.420,3.2,3.7,.870,1.3,3.9,5.2,2.0,1.0,0.7,2.1,15.9,7.54
Gal Mekel,Wichita State,62,29,21.9,2.2,5.7,.379,1.3,3.0,.446,0.8,2.7,.306,1.5,1.9,.809,0.4,1.7,2.1,2.7,0.4,0.0,2.0,6.7,4.60
Tony Mitchell,North Carolina A&T,70,,,0.9,2.7,.333,0.6,1.5,.380,0.3,1.2,.274,0.3,0.6,.455,,,1.5,0.5,0.2,0.1,,2.4,-10.52
Tony Mitchell,North Carolina A&T,70,,,0.9,2.7,.333,0.6,1.5,.380,0.3,1.2,.274,0.3,0.6,.455,,,1.5,0.5,0.2,0.1,,2.4,-10.52
Shabazz Muhammad,UCLA,32,30,30.8,6.3,14.3,.443,5.1,10.9,.463,1.3,3.3,.377,4.0,5.6,.711,2.7,2.5,5.2,0.8,0.7,0.1,1.6,17.9,7.82
Erik Murphy,Florida,136,67,18.3,2.9,5.7,.514,1.9,3.3,.572,1.1,2.4,.435,0.8,1.1,.757,1.2,2.6,3.7,0.7,0.4,0.6,1.0,7.7,7.22
Toure' Murry,Wichita State,139,130,28.8,3.7,9.2,.405,2.8,6.1,.454,1.0,3.1,.311,2.6,3.5,.763,1.1,3.4,4.5,3.1,1.3,0.3,2.4,11.1,2.35
Mike Muscala,Bucknell,133,118,28.7,5.4,10.8,.501,5.3,10.3,.510,0.2,0.5,.313,4.3,5.2,.819,2.3,6.0,8.2,1.6,0.4,2.0,1.6,15.3,-3.94
James Nunnally,UCSB,123,93,29.4,4.5,9.8,.465,3.0,5.8,.517,1.5,3.9,.386,3.1,4.0,.784,1.0,4.2,5.1,2.0,0.6,0.2,2.2,13.7,-0.86
Victor Oladipo,Indiana,104,75,24.6,3.9,7.3,.538,3.4,5.9,.585,0.5,1.4,.338,2.5,3.5,.716,2.0,3.2,5.2,1.7,1.5,0.5,2.0,10.7,7.94
Kelly Olynyk,Gonzaga,101,31,17.2,3.3,5.6,.594,3.1,4.9,.634,0.2,0.7,.333,2.0,2.8,.709,1.5,3.1,4.6,1.1,0.5,0.5,1.4,8.9,4.00
