Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,SOS
J.R. Giddens,New Mexico,59,55,31.3,6.2,12.9,.481,5.1,9.3,.545,1.1,3.6,.313,2.6,4.4,.588,1.5,6.3,7.8,2.8,1.2,0.9,2.4,16.1,
Eric Gordon,Indiana,32,32,34.7,5.8,13.3,.433,3.6,6.8,.525,2.2,6.5,.337,7.2,8.7,.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,20.9,6.08
Donte Greene,Syracuse,35,35,35.8,6.2,14.9,.418,3.7,7.4,.492,2.6,7.5,.345,2.7,3.8,.707,1.7,5.5,7.2,2.0,1.3,1.6,2.6,17.7,7.96
Malik Hairston,Oregon,117,115,31.2,5.2,10.4,.504,4.0,7.2,.551,1.2,3.1,.395,2.4,3.7,.643,2.0,3.1,5.1,2.1,0.6,0.6,2.0,14.1,6.87
Roy Hibbert,Georgetown,136,121,23.3,4.2,7.0,.603,4.2,7.0,.602,0.0,0.0,1.000,2.4,3.5,.680,2.3,3.7,5.9,1.3,0.4,1.9,1.5,10.9,7.54
J.J. Hickson,NC State,31,26,28.7,5.3,8.9,.591,5.3,8.9,.593,0.0,0.0,.000,4.3,6.3,.677,2.6,5.9,8.5,1.0,0.7,1.5,2.7,14.8,9.06
George Hill,IUPUI,95,87,33.3,5.6,10.7,.529,4.7,8.3,.565,0.9,2.3,.404,4.8,6.1,.785,1.9,3.8,5.8,3.3,1.6,0.3,2.5,17.0,-3.26
Steven Hill,Arkansas,132,106,19.5,1.7,2.9,.589,1.7,2.9,.591,0.0,0.0,.000,0.6,1.2,.519,1.2,2.1,3.3,0.3,0.7,2.4,1.0,4.0,6.31
Othello Hunter,Ohio State,76,45,22.2,3.3,5.6,.583,3.2,5.4,.591,0.1,0.2,.308,1.2,2.0,.603,2.3,3.1,5.5,0.6,0.5,1.3,1.0,7.8,8.50
Darnell Jackson,Kansas,125,39,16.6,2.5,4.3,.580,2.5,4.2,.583,0.0,0.0,.333,1.8,2.6,.685,1.7,3.2,4.9,0.5,0.5,0.4,1.0,6.8,8.38
Dontell Jefferson,Arkansas,62,28,19.8,1.2,3.0,.389,0.9,1.9,.450,0.3,1.0,.277,1.0,1.5,.670,0.5,2.1,2.6,3.3,1.1,0.3,2.0,3.6,4.88
Trey Johnson,Jackson State,67,66,36.4,8.4,19.6,.431,6.3,13.8,.455,2.2,5.8,.375,6.3,8.4,.746,1.5,3.2,4.7,2.4,1.2,0.1,3.2,25.3,
DeAndre Jordan,Texas A&M,35,21,20.1,3.2,5.2,.617,3.2,5.2,.617,0.0,0.0,,1.5,3.4,.437,1.9,4.1,6.0,0.4,0.2,1.3,1.6,7.9,7.46
Kosta Koufos,Ohio State,37,35,27.1,6.0,11.8,.508,5.4,10.1,.535,0.6,1.7,.349,1.8,2.7,.680,2.6,4.0,6.7,0.5,0.4,1.8,1.5,14.4,7.97
Rob Kurz,Notre Dame,108,75,23.3,2.8,6.0,.468,2.1,4.4,.490,0.7,1.6,.409,3.1,3.8,.810,2.0,4.0,6.0,1.3,0.6,1.1,1.5,9.4,6.22
Courtney Lee,Western Kentucky,127,127,31.2,6.3,13.6,.464,4.4,8.8,.498,1.9,4.8,.401,3.1,3.7,.817,1.7,3.5,5.2,2.2,1.9,0.6,2.5,17.6,-1.08
Brook Lopez,Stanford,53,43,28.0,6.1,12.7,.480,6.1,12.3,.491,0.1,0.4,.143,3.7,4.9,.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,16.0,8.00
Robin Lopez,Stanford,67,61,24.3,3.5,6.9,.511,3.5,6.9,.511,0.0,0.0,.500,1.9,3.1,.612,2.6,3.1,5.6,0.8,0.3,2.3,1.6,9.0,8.00
Kevin Love,UCLA,39,38,29.6,5.8,10.4,.559,5.1,8.3,.611,0.7,2.1,.354,5.1,6.6,.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,17.5,7.71
Cartier Martin,Kansas State,112,77,27.6,4.6,10.1,.458,3.0,6.1,.497,1.6,4.0,.399,2.9,3.8,.780,1.7,3.1,4.8,1.5,0.7,0.2,1.7,13.8,6.11
O.J. Mayo,USC,33,32,36.8,7.2,16.2,.442,4.5,9.7,.464,2.7,6.5,.409,3.7,4.6,.803,1.1,3.5,4.5,3.3,1.5,0.4,3.5,20.7,8.59
JaVale McGee,Nevada,66,31,18.7,3.5,6.5,.542,3.3,5.9,.563,0.2,0.7,.356,1.4,2.7,.514,1.7,3.0,4.8,0.3,0.5,1.8,1.6,8.7,0.49
Anthony Morrow,Georgia Tech,123,70,23.6,3.8,8.8,.437,1.7,3.8,.458,2.1,5.0,.421,1.6,1.8,.867,1.2,2.0,3.3,1.0,0.8,0.2,1.1,11.4,8.60
DeMarcus Nelson,Duke,124,74,26.2,3.8,8.2,.466,2.8,5.5,.511,1.0,2.7,.373,2.1,3.7,.586,1.4,3.5,4.9,1.8,1.2,0.3,2.1,10.8,9.64
Greg Oden,Ohio State,32,31,28.9,5.9,9.6,.616,5.9,9.6,.616,0.0,0.0,,3.8,6.1,.628,3.5,6.0,9.6,0.7,0.6,3.3,2.0,15.7,9.03
Anthony Randolph,LSU,31,31,32.8,5.9,12.7,.464,5.8,12.1,.483,0.1,0.6,.105,3.7,5.4,.693,2.8,5.7,8.5,1.2,1.1,2.3,3.0,15.6,5.66
Derrick Rose,Memphis,40,39,29.2,5.2,10.9,.477,4.3,8.3,.521,0.9,2.6,.337,3.7,5.1,.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,14.9,5.76
Brandon Rush,Kansas,109,101,31.3,4.9,10.9,.449,3.0,6.6,.458,1.9,4.3,.435,1.8,2.5,.733,1.5,4.0,5.5,2.0,0.7,0.8,2.1,13.6,7.56
Walter Sharpe,Alabama-Birmingham,12,10,24.9,5.7,10.8,.523,5.7,10.6,.535,0.0,0.3,.000,2.8,5.4,.523,1.8,5.0,6.8,1.7,1.2,1.8,2.8,14.2,
Sean Singletary,Virginia,123,123,32.8,5.2,12.9,.406,3.4,7.9,.433,1.8,5.0,.362,4.7,5.5,.846,1.0,3.0,4.0,4.8,1.6,0.1,3.3,16.9,7.98
Marreese Speights,Florida,69,36,15.4,4.0,6.2,.633,4.0,6.2,.633,0.0,0.0,,1.6,2.3,.688,1.9,3.6,5.4,0.5,0.3,0.9,1.1,9.5,6.16
Mike Taylor,Iowa State,31,30,35.0,5.3,14.2,.376,2.8,7.3,.391,2.5,6.9,.360,2.8,4.2,.682,0.7,3.4,4.1,4.5,1.1,0.1,5.4,16.0,5.19
Jason Thompson,Rider,122,112,32.1,6.2,11.8,.526,6.0,11.0,.544,0.2,0.8,.291,4.0,6.0,.667,3.0,6.6,9.6,2.0,0.9,1.9,2.6,16.7,-3.38
Anthony Tolliver,Creighton,124,93,21.5,2.9,5.8,.491,2.7,5.3,.506,0.2,0.5,.333,2.2,3.3,.671,1.8,3.1,4.9,1.1,0.6,1.1,1.4,8.1,4.21
Kyle Weaver,Washington State,121,103,29.8,3.3,7.2,.464,3.0,5.9,.505,0.4,1.3,.277,2.6,3.6,.716,1.3,3.4,4.7,3.8,1.6,0.8,2.6,9.6,6.88
Sonny Weems,Arkansas,69,66,31.2,5.2,11.0,.473,3.8,7.3,.527,1.3,3.7,.366,1.6,2.1,.767,1.6,3.0,4.6,2.3,1.3,0.3,2.7,13.3,7.74
Russell Westbrook,UCLA,75,35,21.9,3.1,6.6,.464,2.6,5.3,.491,0.5,1.3,.354,1.7,2.4,.685,0.9,1.5,2.4,2.5,1.0,0.1,1.6,8.3,8.77
D.J. White,Indiana,99,97,30.6,5.5,9.8,.562,5.5,9.8,.563,0.0,0.0,.333,3.5,5.1,.690,2.4,5.1,7.6,0.9,0.7,2.0,1.7,14.6,7.95
Jawad Williams,UNC,128,105,27.0,4.6,9.5,.487,3.6,6.7,.544,1.0,2.8,.349,2.5,3.5,.724,1.8,3.0,4.8,1.5,0.7,0.7,1.6,12.7,10.88
