2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PF,PTS,Player,SOS,STL,School,TOV,TRB,year
3.1,5.8,.533,1.0,.375,2.6,2.7,0.7,5.6,4.1,8.4,.484,1.9,3.0,.625,102,85,32.2,3.0,,11.0,Kenrich Williams,8.65,1.4,TCU,1.4,8.6,2019
2.7,5.6,.487,0.0,,0.0,0.4,0.6,2.5,2.7,5.6,.487,1.2,2.1,.551,122,59,21.1,2.2,,6.6,Robert Williams,-5.22,0.4,Florida Atlantic,1.2,4.7,2019
4.5,9.1,.493,3.7,.360,10.3,8.7,0.3,3.5,8.2,19.3,.422,7.4,8.6,.861,32,32,35.4,0.4,,27.4,Trae Young,10.56,1.7,Oklahoma,5.2,3.9,2019
5.4,9.4,.579,0.0,.000,0.2,0.8,1.5,5.4,5.4,9.6,.566,2.5,4.5,.564,33,33,32.2,3.0,,13.4,Jarrett Allen,12.75,0.6,Texas,2.5,8.4,2018
2.3,4.8,.482,0.7,.400,1.8,3.3,0.7,3.3,3.0,6.6,.459,2.3,3.1,.725,68,61,27.5,0.3,,9.1,Kadeem Allen,7.43,1.3,Arizona,2.0,3.6,2018
2.0,3.5,.564,0.0,,0.0,0.2,1.2,2.6,2.0,3.5,.564,0.8,1.5,.535,29,0,13.0,1.4,,4.7,Ike Anigbogu,6.39,0.2,UCLA,0.8,4.0,2018
2.1,3.3,.652,0.5,.365,1.5,0.8,0.9,2.1,2.7,4.8,.563,0.9,1.8,.522,50,10,17.4,1.4,,6.8,OG Anunoby,7.53,1.0,Indiana,1.1,3.5,2018
1.6,3.5,.453,1.8,.358,5.1,3.7,0.0,2.0,3.4,8.5,.397,2.6,3.2,.800,144,142,31.9,0.3,,11.1,Ryan Arcidiacono,8.32,1.2,Villanova,1.8,2.3,2018
3.0,5.8,.524,1.3,.378,3.3,2.3,0.3,3.3,4.3,9.1,.470,2.7,3.6,.759,135,98,27.6,1.4,,12.6,Jamel Artis,8.68,0.5,Pitt,1.9,4.6,2018
4.8,9.3,.510,1.3,.312,4.1,1.6,0.1,3.8,6.1,13.5,.449,3.1,4.2,.733,69,67,28.8,1.2,,16.5,Dwayne Bacon,8.52,1.0,Florida State,2.1,5.0,2018
3.0,4.1,.732,2.2,.412,5.4,7.6,0.8,5.1,5.3,9.5,.551,1.8,2.7,.673,36,36,35.1,0.9,,14.6,Lonzo Ball,6.39,1.8,UCLA,2.5,6.0,2018
3.3,5.2,.622,0.0,.188,0.2,1.5,2.2,4.7,3.3,5.4,.610,1.2,1.8,.630,105,62,24.7,2.1,,7.8,Jordan Bell,8.23,1.1,Oregon,1.5,6.8,2018
3.3,6.2,.527,0.0,,0.0,0.9,3.3,5.0,3.3,6.2,.527,3.1,4.6,.678,59,47,27.2,3.2,,9.6,Khem Birch,,0.7,UNLV,1.3,8.2,2018
2.3,4.5,.512,1.6,.371,4.4,1.2,0.3,2.5,3.9,8.9,.442,1.2,1.6,.753,114,80,26.4,0.8,,10.8,Jabari Bird,6.95,0.5,California,1.2,3.3,2018
3.5,6.9,.510,1.6,.347,4.7,1.3,0.1,3.2,5.2,11.7,.444,2.8,3.8,.736,64,54,31.8,0.9,,14.8,Antonio Blakeney,7.85,0.7,LSU,1.4,4.1,2018
3.3,5.0,.650,1.1,.344,3.2,0.4,2.7,4.5,4.3,8.2,.532,2.2,3.4,.641,69,47,24.8,2.3,,12.0,Chris Boucher,8.51,0.6,Oregon,1.1,6.8,2018
