,Player,School,c_G,c_FGP,c_3PP,c_FTP,c_TRB,c_AST,c_STL,c_BLK,c_TOV,c_PTS
109,John Collins,Wake Forest,64,0.601,0.0,0.7290000000000001,7.0,0.4,0.5,1.2,1.4,13.4
110,Zach Collins,Gonzaga,39,0.652,0.47600000000000003,0.743,5.9,0.4,0.5,1.8,1.5,10.0
111,Kyle Collinsworth,BYU,140,0.47700000000000004,0.28,0.642,7.5,5.0,1.6,0.4,2.6,12.2
112,Charles Cooke,Dayton,61,0.451,0.39899999999999997,0.695,5.5,2.3,1.2,1.1,1.9,15.7
113,Matt Costello,Michigan State,138,0.5670000000000001,0.16699999999999998,0.713,4.7,0.8,0.4,1.1,0.7,6.0
114,Torrey Craig,USC Upstate,131,0.413,0.33,0.6709999999999999,7.2,1.8,1.1,0.8,2.6,16.2
115,Tyler Dorsey,Oregon,75,0.455,0.41600000000000004,0.732,3.9,1.8,0.8,0.1,1.7,14.1
116,Damyean Dotson,Houston,64,0.485,0.41200000000000003,0.8320000000000001,6.9,1.2,0.8,0.2,1.0,15.6
117,Milton Doyle,Loyola (IL),121,0.43799999999999994,0.344,0.718,4.1,3.8,1.2,0.6,3.1,13.3
118,PJ Dozier,South Carolina,70,0.39799999999999996,0.27699999999999997,0.579,3.9,2.4,1.3,0.3,2.4,10.4
119,Jawun Evans,Oklahoma State,54,0.44799999999999995,0.40700000000000003,0.818,3.8,5.8,1.5,0.1,2.7,16.6
120,De'Aaron Fox,Kentucky,36,0.479,0.24600000000000002,0.736,4.0,4.6,1.5,0.2,2.4,16.7
121,Markelle Fultz,Washington,25,0.47600000000000003,0.413,0.649,5.7,5.9,1.6,1.2,3.2,23.2
122,Josh Gray,LSU,63,0.415,0.242,0.61,2.1,2.8,1.0,0.0,2.0,6.3
123,Daniel Hamilton,UConn,71,0.384,0.337,0.772,8.3,4.2,1.0,0.4,2.3,11.7
124,Shaquille Harrison,Tulsa,133,0.444,0.21600000000000003,0.645,4.5,3.5,1.8,0.4,2.3,11.1
125,Josh Hart,Villanova,146,0.511,0.389,0.72,5.6,1.8,1.1,0.3,1.3,13.2
126,Nigel Hayes,Wisconsin,150,0.446,0.332,0.6659999999999999,5.3,2.1,0.9,0.4,1.6,12.4
127,Reggie Hearn,Northwestern,95,0.457,0.353,0.752,2.8,1.0,0.6,0.2,1.2,7.1
128,Myke Henry,DePaul,63,0.5,0.371,0.706,5.8,1.1,1.0,0.4,2.3,12.8
129,Isaiah Hicks,UNC,151,0.573,0.16699999999999998,0.725,3.6,0.7,0.3,0.5,1.1,7.4
130,John Holland,Boston University,129,0.434,0.355,0.807,5.6,1.2,1.6,0.3,1.9,17.1
131,Vince Hunter,UTEP,67,0.54,0.33299999999999996,0.604,7.9,1.5,1.0,0.9,2.4,13.6
132,Andre Ingram,American,118,0.39299999999999996,0.385,0.787,4.5,1.7,1.0,0.1,1.8,14.0
133,Jonathan Isaac,Florida State,32,0.508,0.348,0.78,7.8,1.2,1.2,1.5,1.5,12.0
134,Wesley Iwundu,Kansas State,132,0.46299999999999997,0.33799999999999997,0.688,4.7,2.8,0.9,0.4,2.1,9.5
135,Aaron Jackson,Duquesne,120,0.521,0.342,0.772,4.5,4.2,1.4,0.1,2.3,11.9
136,Josh Jackson,South Carolina State,30,0.53,0.333595588235294,0.5770000000000001,4.7,1.0,0.2,0.4,2.3,8.0
137,Justin Jackson,Tennessee,6,0.0,0.333595588235294,0.0,0.5,0.0,0.0,0.0,0.0,0.0
138,Mike James,Duquesne,111,0.444,0.32899999999999996,0.726,3.0,3.1,1.8,0.1,1.8830790568654632,12.7
139,Dakari Johnson,Kentucky,78,0.537,0.333595588235294,0.5589999999999999,4.3,0.5,0.3,0.8,0.9,5.8
140,Omari Johnson,Oregon State,120,0.418,0.293,0.6,4.0,0.7,0.6,0.3,1.3,6.4
141,Jalen Jones,Texas A&M,64,0.436,0.317,0.715,6.9,0.7,0.8,0.4,1.5,14.5
142,Luke Kennard,Duke,73,0.461,0.38299999999999995,0.867,4.3,2.0,0.9,0.3,1.2,15.7
143,Luke Kornet,Vanderbilt,128,0.41700000000000004,0.32,0.779,4.8,1.1,0.4,1.6,1.1,8.9
144,Kyle Kuzma,Utah,96,0.506,0.302,0.633,5.5,1.5,0.3,0.4,1.6,10.1
145,T.J. Leaf,UCLA,35,0.617,0.466,0.679,8.2,2.4,0.6,1.1,1.5,16.3
146,Damion Lee,Louisville,30,0.428,0.341,0.843,3.9,2.0,1.5,0.0,1.7,15.9
147,Tyler Lydon,Syracuse,71,0.47600000000000003,0.4,0.809,7.4,1.6,1.1,1.6,1.5,11.6
148,Lauri Markkanen,Arizona,37,0.49200000000000005,0.423,0.835,7.2,0.9,0.4,0.5,1.1,15.6
149,Frank Mason,Kansas,145,0.45399999999999996,0.42,0.7609999999999999,3.4,4.0,1.1,0.1,1.9,13.0
150,Mangok Mathiang,Louisville,114,0.506,0.333595588235294,0.599,4.8,0.5,0.5,1.3,0.9,4.8
151,Erik McCree,Louisiana Tech,99,0.46399999999999997,0.348,0.735,7.3,1.0,0.6,0.5,2.2,14.9
152,Trey McKinney-Jones,Miami (FL),69,0.436,0.385,0.815,3.4,1.5,0.7,0.0,1.1,8.1
153,Alfonzo McKinnie,Green Bay,42,0.449,0.35100000000000003,0.535,4.8,0.2,0.5,0.5,1.1,7.3
154,Malcolm Miller,Holy Cross,112,0.445,0.37,0.765,4.8,1.5,0.8,1.3,1.6,9.0
155,Donovan Mitchell,Louisville,65,0.418,0.32899999999999996,0.7879999999999999,4.1,2.2,1.5,0.3,1.3,11.7
156,Malik Monk,Kentucky,38,0.45,0.397,0.8220000000000001,2.5,2.3,0.9,0.5,2.0,19.8
157,Ben Moore,SMU,135,0.539,0.2,0.6629999999999999,5.8,1.8,0.8,0.9,1.4,9.0
158,Monte Morris,Iowa State,140,0.47600000000000003,0.381,0.78,3.7,5.5,1.6,0.3,1.2,12.2
159,Johnathan Motley,Baylor,102,0.519,0.24,0.654,6.4,1.3,0.4,1.2,2.0,12.0
160,Abdel Nader,Iowa State,67,0.45399999999999996,0.321,0.745,4.0,1.1,0.7,0.6,1.7,9.5
161,Royce O'Neale,Baylor,71,0.483,0.44799999999999995,0.6829999999999999,5.6,3.1,1.0,0.3,1.7,8.5
162,Semi Ojeleye,SMU,35,0.48700000000000004,0.424,0.785,6.9,1.5,0.4,0.4,1.4,19.0
163,Marcus Paige,UNC,141,0.40700000000000003,0.374,0.848,2.8,4.3,1.4,0.2,1.9,13.3
164,Justin Patton,Creighton,35,0.6759999999999999,0.5329999999999999,0.517,6.2,1.2,0.9,1.4,1.7,12.9
165,Brandon Paul,Illinois,138,0.384,0.325,0.7240000000000001,3.8,2.2,1.1,0.5,2.3,12.0
166,London Perrantes,Virginia,138,0.405,0.409,0.812,2.7,4.1,0.9,0.1,1.5,8.9
167,Alec Peters,Valparaiso,134,0.48700000000000004,0.41600000000000004,0.846,7.4,1.5,0.8,0.3,1.9,17.5
168,Jacob Pullen,Kansas State,135,0.408,0.361,0.77,2.4,3.4,1.6,0.1,2.6,15.8
169,Rodney Purvis,UConn,102,0.41,0.36,0.6759999999999999,3.2,1.9,0.9,0.2,1.7,12.8
170,Ivan Rabb,California,65,0.544,0.409,0.6659999999999999,9.4,1.2,0.6,1.1,1.8,13.2
171,Xavier Rathan-Mayes,Florida State,100,0.424,0.294,0.6659999999999999,3.2,4.5,1.0,0.0,2.6,12.4
172,Davon Reed,Miami (FL),131,0.43,0.395,0.779,3.6,1.6,0.9,0.4,1.4,10.3
173,Devin Robinson,Florida,105,0.45,0.336,0.7140000000000001,4.9,0.6,0.6,0.6,0.9,8.9
174,Ben Simmons,LSU,33,0.56,0.33299999999999996,0.67,11.8,4.8,2.0,0.8,3.4,19.2
175,Kobi Simmons,Arizona,37,0.395,0.327,0.775,1.6,2.0,0.6,0.1,1.2,8.7
176,Dennis Smith,Utah,3,0.667,0.333595588235294,1.0,1.3,0.0,0.0,0.0,1.8830790568654632,3.3
177,Edmond Sumner,Xavier,58,0.429,0.285,0.73,3.5,3.8,1.2,0.4,2.2,11.4
178,Caleb Swanigan,Purdue,69,0.501,0.376,0.76,10.4,2.4,0.4,0.5,3.0,14.4
179,Jayson Tatum,Duke,29,0.452,0.342,0.8490000000000001,7.3,2.1,1.3,1.1,2.6,16.8
180,Sindarius Thornwell,South Carolina,132,0.392,0.33899999999999997,0.7709999999999999,5.2,3.0,1.5,0.6,2.5,14.7
181,Tyrone Wallace,California,129,0.415,0.292,0.613,5.2,3.4,1.1,0.4,2.2,12.6
182,Derrick Walton,Michigan,127,0.40399999999999997,0.401,0.8370000000000001,4.4,3.9,1.1,0.0,1.8,11.6
183,Jameel Warney,Stony Brook,135,0.596,0.333595588235294,0.5920000000000001,9.4,1.6,0.8,2.0,1.4,15.8
184,James Webb,Boise State,63,0.518,0.33,0.6759999999999999,8.6,0.8,1.3,0.6,1.3,13.5
185,Derrick White,Colorado,34,0.507,0.396,0.813,4.1,4.4,1.2,1.4,2.4,18.1
186,Jacob Wiley,Eastern Washington,34,0.643,0.7140000000000001,0.828,9.1,2.4,0.8,2.8,3.8,20.4
187,C.J. Williams,Boise State,108,0.38799999999999996,0.312,0.5710000000000001,1.9,2.3,0.9,0.0,1.8,5.2
188,Matt Williams,Colorado State,113,0.529,0.0,0.71,4.4,1.3,0.5,0.5,1.9,8.7
189,D.J. Wilson,Michigan,69,0.525,0.363,0.8170000000000001,3.3,0.8,0.4,1.0,0.8,7.1
190,Jamil Wilson,Marquette,101,0.439,0.344,0.7040000000000001,5.0,1.8,0.6,0.9,1.5,9.4
191,Ron Baker,Wichita State,124,0.433,0.369,0.8009999999999999,4.2,2.8,1.3,0.6,1.4,13.2
192,Wade Baldwin,Vanderbilt,68,0.431,0.42200000000000004,0.8,4.1,4.8,1.3,0.2,2.3,11.6
193,Malik Beasley,Florida State,34,0.47100000000000003,0.387,0.813,5.3,1.5,0.9,0.2,1.7,15.6
194,DeAndre' Bembry,St. Joseph's,101,0.457,0.312,0.628,6.7,3.6,1.4,0.8,2.5,15.7
195,Ben Bentil,Providence,69,0.455,0.324,0.7609999999999999,6.3,0.9,0.6,0.7,1.6,13.8
196,Joel Bolomboy,Weber State,130,0.528,0.371,0.713,10.1,0.7,0.6,1.4,2.0,11.4
197,Malcolm Brogdon,Virginia,136,0.43,0.365,0.8759999999999999,4.1,2.5,0.9,0.2,1.5,13.3
198,Jaylen Brown,California,34,0.431,0.294,0.654,5.4,2.0,0.8,0.6,3.1,14.6
199,Marquese Chriss,Washington,34,0.53,0.35,0.682,5.4,0.8,0.9,1.6,2.0,13.7
200,Semaj Christon,Xavier,64,0.462,0.33799999999999997,0.67,2.8,4.4,1.4,0.2,3.1,16.2
201,Quinn Cook,Duke,143,0.43200000000000005,0.375,0.853,2.7,3.6,1.1,0.1,1.4,11.0
202,Deyonta Davis,Michigan State,35,0.598,0.333595588235294,0.605,5.5,0.7,0.3,1.8,0.9,7.5
203,Malcolm Delaney,Virginia Tech,136,0.401,0.363,0.845,3.5,4.0,1.3,0.2,2.8,16.6
204,Cheick Diallo,Kansas,27,0.569,0.333595588235294,0.556,2.5,0.0,0.3,0.9,0.6,3.0
