,Player,School,c_G,c_FGP,c_3PP,c_FTP,c_TRB,c_AST,c_STL,c_BLK,c_TOV,c_PTS
712,Cartier Martin,Kansas State,112,0.45799999999999996,0.39899999999999997,0.78,4.8,1.5,0.7,0.2,1.7,13.8
713,O.J. Mayo,USC,33,0.442,0.409,0.8029999999999999,4.5,3.3,1.5,0.4,3.5,20.7
714,JaVale McGee,Nevada,66,0.542,0.35600000000000004,0.514,4.8,0.3,0.5,1.8,1.6,8.7
715,Anthony Morrow,Georgia Tech,123,0.43700000000000006,0.42100000000000004,0.867,3.3,1.0,0.8,0.2,1.1,11.4
716,DeMarcus Nelson,Duke,124,0.466,0.373,0.586,4.9,1.8,1.2,0.3,2.1,10.8
717,Greg Oden,Ohio State,32,0.616,0.333595588235294,0.628,9.6,0.7,0.6,3.3,2.0,15.7
718,Anthony Randolph,LSU,31,0.46399999999999997,0.105,0.693,8.5,1.2,1.1,2.3,3.0,15.6
719,Derrick Rose,Memphis,40,0.47700000000000004,0.337,0.7120000000000001,4.5,4.7,1.2,0.4,2.7,14.9
720,Brandon Rush,Kansas,109,0.449,0.435,0.733,5.5,2.0,0.7,0.8,2.1,13.6
721,Walter Sharpe,Alabama-Birmingham,12,0.523,0.0,0.523,6.8,1.7,1.2,1.8,2.8,14.2
722,Sean Singletary,Virginia,123,0.406,0.36200000000000004,0.846,4.0,4.8,1.6,0.1,3.3,16.9
723,Marreese Speights,Florida,69,0.633,0.333595588235294,0.688,5.4,0.5,0.3,0.9,1.1,9.5
724,Mike Taylor,Iowa State,31,0.376,0.36,0.682,4.1,4.5,1.1,0.1,5.4,16.0
725,Jason Thompson,Rider,122,0.526,0.29100000000000004,0.667,9.6,2.0,0.9,1.9,2.6,16.7
726,Anthony Tolliver,Creighton,124,0.491,0.33299999999999996,0.6709999999999999,4.9,1.1,0.6,1.1,1.4,8.1
727,Kyle Weaver,Washington State,121,0.46399999999999997,0.27699999999999997,0.716,4.7,3.8,1.6,0.8,2.6,9.6
728,Sonny Weems,Arkansas,69,0.473,0.366,0.767,4.6,2.3,1.3,0.3,2.7,13.3
729,Russell Westbrook,UCLA,75,0.46399999999999997,0.354,0.685,2.4,2.5,1.0,0.1,1.6,8.3
730,D.J. White,Indiana,99,0.562,0.33299999999999996,0.69,7.6,0.9,0.7,2.0,1.7,14.6
731,Jawad Williams,UNC,128,0.48700000000000004,0.349,0.7240000000000001,4.8,1.5,0.7,0.7,1.6,12.7
