2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PTS,Player,SOS,STL,School,TOV,TRB,year,Position,eFGP,PER,WS
2.2,4.6,0.466,0.5,0.344,1.5,3.4,0.2,3.0,2.7,6.1,0.43700000000000006,2.3,3.2,0.722,134,68.0,23.5,0.9,8.1,Brad Wanamaker,7.92,1.0,Pitt,1.9,3.9,2019,Guard,47.8,16.803262411347497,13.3
3.6,7.8,0.46799999999999997,0.9,0.341,2.7,2.1,0.4,3.0,4.6,10.5,0.435,1.7,2.5,0.6990000000000001,130,126.0,34.2,0.8,11.7,Julian Washburn,1.19,0.9,UTEP,1.6,3.8,2019,Forward,47.9,14.1,11.1
2.6,5.5,0.48100000000000004,1.2,0.337,3.5,1.5,1.1,3.4,3.8,8.9,0.425,2.1,2.7,0.7879999999999999,134,107.0,30.1,1.1,10.9,Yuta Watanabe,2.82,0.7,George Washington,1.3,4.5,2019,Guard-Forward,49.0,16.6,12.2
3.7,6.6,0.5539999999999999,0.3,0.40700000000000003,0.9,0.8,1.1,5.5,4.0,7.5,0.537,1.0,1.3,0.7979999999999999,132,94.0,25.0,2.4,9.5,Thomas Welsh,7.8,0.4,UCLA,0.7,7.8,2019,Center,56.1,20.7,13.6
0.0,0.3,0.0,0.1,0.5,0.3,0.1,0.0,0.1,0.1,0.6,0.25,0.1,0.1,0.5,14,0.0,27.273750000000003,0.1,0.5,Johnathan Williams,8.25,0.1,Charlotte,0.4,0.1,2019,Guard,37.5,0.0,0.0
3.1,5.8,0.5329999999999999,1.0,0.375,2.6,2.7,0.7,5.6,4.1,8.4,0.484,1.9,3.0,0.625,102,85.0,32.2,3.0,11.0,Kenrich Williams,8.65,1.4,TCU,1.4,8.6,2019,Guard-Forward,54.2,21.0,14.0
2.7,5.6,0.48700000000000004,0.0,0.332212160413972,0.0,0.4,0.6,2.5,2.7,5.6,0.48700000000000004,1.2,2.1,0.551,122,59.0,21.1,2.2,6.6,Robert Williams,-5.22,0.4,Florida Atlantic,1.2,4.7,2019,Center,48.7,5.2,5.2
4.5,9.1,0.493,3.7,0.36,10.3,8.7,0.3,3.5,8.2,19.3,0.42200000000000004,7.4,8.6,0.861,32,32.0,35.4,0.4,27.4,Trae Young,10.56,1.7,Oklahoma,5.2,3.9,2019,Guard,51.8,28.3,5.7
5.4,9.4,0.579,0.0,0.0,0.2,0.8,1.5,5.4,5.4,9.6,0.5660000000000001,2.5,4.5,0.564,33,33.0,32.2,3.0,13.4,Jarrett Allen,12.75,0.6,Texas,2.5,8.4,2018,Forward,56.6,20.3,3.3
2.3,4.8,0.48200000000000004,0.7,0.4,1.8,3.3,0.7,3.3,3.0,6.6,0.45899999999999996,2.3,3.1,0.725,68,61.0,27.5,0.3,9.1,Kadeem Allen,7.43,1.3,Arizona,2.0,3.6,2018,Guard,51.4,16.5,6.7
2.0,3.5,0.564,0.0,0.332212160413972,0.0,0.2,1.2,2.6,2.0,3.5,0.564,0.8,1.5,0.535,29,0.0,13.0,1.4,4.7,Ike Anigbogu,6.39,0.2,UCLA,0.8,4.0,2018,Forward,56.4,17.1,1.3
2.1,3.3,0.652,0.5,0.365,1.5,0.8,0.9,2.1,2.7,4.8,0.563,0.9,1.8,0.522,50,10.0,17.4,1.4,6.8,OG Anunoby,7.53,1.0,Indiana,1.1,3.5,2018,Forward,62.0,21.8,3.6
1.6,3.5,0.45299999999999996,1.8,0.358,5.1,3.7,0.0,2.0,3.4,8.5,0.397,2.6,3.2,0.8,144,142.0,31.9,0.3,11.1,Ryan Arcidiacono,8.32,1.2,Villanova,1.8,2.3,2018,Guard,50.3,15.4,17.0
3.0,5.8,0.524,1.3,0.37799999999999995,3.3,2.3,0.3,3.3,4.3,9.1,0.47,2.7,3.6,0.759,135,98.0,27.6,1.4,12.6,Jamel Artis,8.68,0.5,Pitt,1.9,4.6,2018,Forward,53.9,19.9,13.2
4.8,9.3,0.51,1.3,0.312,4.1,1.6,0.1,3.8,6.1,13.5,0.449,3.1,4.2,0.733,69,67.0,28.8,1.2,16.5,Dwayne Bacon,8.52,1.0,Florida State,2.1,5.0,2018,Guard,49.7,19.9,6.7
3.0,4.1,0.732,2.2,0.41200000000000003,5.4,7.6,0.8,5.1,5.3,9.5,0.551,1.8,2.7,0.6729999999999999,36,36.0,35.1,0.9,14.6,Lonzo Ball,6.39,1.8,UCLA,2.5,6.0,2018,Guard,66.8,24.7,6.8
3.3,5.2,0.622,0.0,0.188,0.2,1.5,2.2,4.7,3.3,5.4,0.61,1.2,1.8,0.63,105,62.0,24.7,2.1,7.8,Jordan Bell,8.23,1.1,Oregon,1.5,6.8,2018,Forward,61.2,22.5,11.4
3.3,6.2,0.527,0.0,0.332212160413972,0.0,0.9,3.3,5.0,3.3,6.2,0.527,3.1,4.6,0.6779999999999999,59,47.0,27.2,3.2,9.6,Khem Birch,5.647638522427432,0.7,UNLV,1.3,8.2,2018,Forward,53.1,24.7,8.7
2.3,4.5,0.512,1.6,0.371,4.4,1.2,0.3,2.5,3.9,8.9,0.442,1.2,1.6,0.753,114,80.0,26.4,0.8,10.8,Jabari Bird,6.95,0.5,California,1.2,3.3,2018,Guard,53.4,15.7,9.4
