Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,year
Greg Smith,Delaware State,49,24,10.8,1.1,2.7,0.391,0.9,2.5,0.371,0.1,0.2,0.667,0.2,0.3,0.688,0.7,0.9,1.7,0.2,0.3,0.3,0.4,1.6,2.5,-6.19,2012
DeMarcus Cousins,Kentucky,38,37,23.5,5.4,9.7,0.558,5.4,9.6,0.565,0,0.2,0.167,4.3,7.1,0.604,4.1,5.8,9.8,1,1,1.8,2.1,3.2,15.1,6.82,2011
Jeremy Evans,Western Kentucky,134,130,23.5,3.2,5,0.639,3.1,4.7,0.654,0.1,0.2,0.364,1.5,2.2,0.684,2.4,3.5,5.9,0.5,0.6,1.7,1,2.4,7.9,-1.72,2011
Larry Sanders,VCU,101,82,23.5,4.1,7.9,0.52,4.1,7.7,0.526,0,0.2,0.25,2.1,3.6,0.577,2.5,5.2,7.7,0.5,0.6,2.7,1.5,3.1,10.3,-0.69,2011
Othyus Jeffers,UIC,63,62,32.6,5.1,10.6,0.477,5,10.4,0.482,0,0.2,0.167,3.4,5.6,0.607,3.4,4.7,8.1,2.8,1.3,0.4,2.8,2.7,13.5,0.45,2010
Darrell Arthur,Kansas,78,46,21.9,4.7,8.7,0.541,4.7,8.5,0.552,0,0.2,0.118,1.8,2.7,0.676,2.2,3.3,5.5,0.6,0.7,1.4,1.6,2.8,11.3,7.53,2009
Othello Hunter,Ohio State,76,45,22.2,3.3,5.6,0.583,3.2,5.4,0.591,0.1,0.2,0.308,1.2,2,0.603,2.3,3.1,5.5,0.6,0.5,1.3,1,2,7.8,8.5,2009
Bruno Fernando,Maryland,64,53,26.4,4.5,7.6,0.595,4.5,7.4,0.603,0.1,0.2,0.308,2.9,3.8,0.763,2.3,6.5,8.7,1.4,0.5,1.6,2.3,2.8,12,9.02,2020
Wendell Carter,Texas,48,,,1.1,2.1,0.505,1,2.1,0.5,0,0.1,0.667,0.3,0.9,0.364,,,1.8,0.2,0.4,0.4,,,2.5,6.62,2019
Vince Edwards,Western Kentucky,53,,,0.6,1.5,0.39,0.6,1.5,0.416,0,0.1,0,0.2,0.5,0.423,,,1,1,0.3,0.1,,,1.4,,2019
Jarred Vanderbilt,Kentucky,14,0,17,2.1,4.9,0.426,2.1,4.8,0.433,0,0.1,0,1.7,2.7,0.632,3.3,4.6,7.9,1,0.4,0.8,1.1,2.6,5.9,10.73,2019
Matt Costello,Michigan State,138,62,16.5,2.4,4.2,0.567,2.3,4.1,0.576,0,0.1,0.167,1.3,1.8,0.713,1.7,2.9,4.7,0.8,0.4,1.1,0.7,2.1,6,9.21,2018
Ben Simmons,LSU,33,32,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0,0.1,0.333,6,9,0.67,3.1,8.6,11.8,4.8,2,0.8,3.4,2.8,19.2,7,2018
Matt Williams,Colorado State,113,65,22.1,2.9,5.6,0.529,2.9,5.5,0.534,0,0.1,0,2.8,3.9,0.71,1.6,2.9,4.4,1.3,0.5,0.5,1.9,2.8,8.7,4.36,2018
Damian Jones,Vanderbilt,99,95,27.1,5.1,9.1,0.566,5.1,9,0.57,0,0.1,0.125,3,5.3,0.565,2.1,4.3,6.4,0.7,0.4,1.7,2,3,13.3,7.13,2017
Skal Labissiere,Kentucky,36,18,15.8,2.7,5.3,0.516,2.7,5.2,0.521,0,0.1,0,1.1,1.7,0.661,1,2.2,3.1,0.3,0.3,1.6,0.9,3,6.6,8.84,2017
Mike Tobey,Virginia,138,48,16.3,2.9,5.4,0.531,2.8,5.3,0.537,0,0.1,0.316,1,1.5,0.704,1.6,2.4,4,0.4,0.2,0.7,0.8,1.9,6.8,7.76,2017
Anthony Brown,Oklahoma State,47,4,13.1,1.1,2.4,0.482,1.1,2.2,0.505,0,0.1,0.143,0.7,1.2,0.569,1,1.3,2.3,0.3,0.3,0.4,0.4,2,3,7.55,2016
Branden Dawson,Michigan State,130,122,26.6,4.4,7.8,0.559,4.4,7.7,0.564,0,0.1,0,1.4,2.4,0.558,2.5,4.4,6.9,1.4,1.3,1.1,1.7,1.6,10.1,9.93,2016
Chris McCullough,Syracuse,16,16,28.1,3.4,7.1,0.478,3.3,7,0.473,0.1,0.1,1,2.5,4.4,0.563,2.3,4.6,6.9,1.1,1.7,2.1,2.2,2.6,9.3,7.68,2016
Josh Richardson,North Texas,28,6,,2,4.6,0.445,2,4.5,0.456,0,0.1,0,2,3.6,0.56,1.2,1.6,2.8,0.5,0.5,0.1,1,2.3,6.1,1.81,2016
JaMychal Green,Alabama,123,114,27.2,5,9.6,0.519,5,9.5,0.524,0,0.1,0.176,3.5,4.9,0.711,3,4.4,7.4,1.2,1,1.7,2.5,3.2,13.5,5.52,2015
James Michael McAdoo,UNC,108,73,25,4.3,9.7,0.447,4.3,9.6,0.451,0,0.1,0,2.8,4.9,0.569,2.1,3.8,5.9,1,1.2,0.5,1.6,2.1,11.4,7.83,2015
Brandon Davies,BYU,135,98,24.1,4.5,8.6,0.522,4.5,8.5,0.525,0,0.1,0.333,3.4,5.1,0.66,1.8,4.4,6.2,1.6,1,0.9,2.1,3,12.4,3.51,2014
Dewayne Dedmon,USC,51,49,22.7,3,5.8,0.52,3,5.7,0.528,0,0.1,0,1.1,1.7,0.614,2.3,4,6.4,0.5,0.9,1.7,1.5,3.1,7.1,7.41,2014
Mason Plumlee,Duke,141,99,25.9,3.7,6.5,0.574,3.7,6.4,0.578,0,0.1,0.2,2.4,4,0.583,2.4,5.4,7.7,1.5,0.8,1.4,2,2.5,9.8,8.87,2014
Quincy Acy,Baylor,139,66,25.1,3.6,6,0.602,3.6,6,0.604,0,0.1,0.429,2.5,3.6,0.708,2.2,3.8,6,0.6,0.7,1.3,1.5,2.6,9.8,7.2,2013
Andre Drummond,UConn,34,30,28.4,4.6,8.6,0.538,4.6,8.5,0.541,0,0.1,0,0.8,2.6,0.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10,8.07,2013
Kevin Jones,Bradley,9,0,1.1,0,0.1,0,0,0,,0,0.1,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,3.24,2013
Henry Sims,Georgetown,121,34,15.1,1.8,3.7,0.479,1.8,3.6,0.493,0,0.1,0.118,1.3,2,0.654,0.9,2.2,3.2,1.4,0.3,0.8,1.3,1.7,4.9,9.15,2013
Kenneth Faried,Morehead State,136,122,29.1,5.8,10.1,0.569,5.7,10,0.572,0,0.1,0.25,3.2,5.6,0.583,4.4,7.9,12.3,0.9,1.7,1.8,2.2,3.1,14.8,-4.03,2012
Ivan Johnson,Oregon,28,6,16.1,2.9,5.9,0.5,2.9,5.7,0.513,0,0.1,0,1.6,2.5,0.634,1,2.2,3.2,0.4,0.9,0.3,1.7,3,7.5,6.85,2012
Daniel Orton,Kentucky,38,0,13.2,1.3,2.4,0.527,1.3,2.3,0.539,0,0.1,0,0.9,1.7,0.524,1.2,2.1,3.3,0.4,0.6,1.4,1,2.3,3.4,6.82,2012
Blake Griffin,Oklahoma,68,63,30.9,7.1,11.5,0.618,7.1,11.4,0.622,0,0.1,0.3,4.5,7.7,0.589,3.6,8.3,11.8,2.1,1.1,1,2.8,2.5,18.8,7.37,2011
Hassan Whiteside,Marshall,34,23,26.1,4.9,9.4,0.524,4.8,9.2,0.522,0.1,0.1,0.6,3.2,5.5,0.588,2.7,6.2,8.9,0.3,0.6,5.4,1.9,2.4,13.1,1.57,2011
Bruce Brown,Hampton,114,75,20.4,3.7,6.2,0.602,3.7,6.2,0.602,0,0,,1.5,3.2,0.47,1.8,3.2,5,0.4,0.2,1.2,1.8,2.3,9,-10.69,2019
Angel Delgado,Seton Hall,132,130,30.6,4.9,9.1,0.538,4.9,9,0.541,0,0,0,2.3,4.3,0.539,3.9,7.1,11,1.7,0.6,0.8,2.2,2.5,12.1,8.8,2019
Drew Eubanks,Oregon State,96,94,28.3,4.7,7.8,0.598,4.7,7.8,0.598,0,0,,2.4,3.5,0.693,1.9,4.6,6.6,0.9,0.5,1.7,2,2.8,11.7,6.57,2019
Harry Giles,Duke,26,6,11.5,1.7,3,0.577,1.7,3,0.577,0,0,,0.5,0.9,0.5,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9,10.91,2019
Isaac Humphries,Kentucky,61,2,8.6,1,2.1,0.473,1,2.1,0.473,0,0,,0.4,0.7,0.65,1.2,1.5,2.7,0.2,0.2,0.6,0.4,1.7,2.4,9.67,2019
Frank Jackson,Georgia Southern,52,,,1.8,3.8,0.472,1.8,3.8,0.472,0,0,,1.5,2.7,0.55,,,4.3,0.3,0.2,1,,,5,-6.08,2019
Amile Jefferson,Duke,150,103,22.3,2.8,4.6,0.62,2.8,4.6,0.62,0,0,,1.5,2.6,0.575,2.4,3.9,6.3,0.9,0.6,0.9,0.9,2.3,7.2,9.88,2019
Robert Williams,Florida Atlantic,122,59,21.1,2.7,5.6,0.487,2.7,5.6,0.487,0,0,,1.2,2.1,0.551,2.2,2.5,4.7,0.4,0.4,0.6,1.2,2.9,6.6,-5.22,2019
Ike Anigbogu,UCLA,29,0,13,2,3.5,0.564,2,3.5,0.564,0,0,,0.8,1.5,0.535,1.4,2.6,4,0.2,0.2,1.2,0.8,2.5,4.7,6.39,2018
Khem Birch,UNLV,59,47,27.2,3.3,6.2,0.527,3.3,6.2,0.527,0,0,,3.1,4.6,0.678,3.2,5,8.2,0.9,0.7,3.3,1.3,2.2,9.6,,2018
Tony Bradley,UNC,38,0,14.6,2.7,4.7,0.573,2.7,4.7,0.573,0,0,,1.7,2.8,0.619,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,7.1,11.76,2018
John Collins,Wake Forest,64,34,20.7,4.9,8.2,0.601,4.9,8.2,0.602,0,0,0,3.6,4.9,0.729,2.8,4.2,7,0.4,0.5,1.2,1.4,2.8,13.4,10.16,2018
Isaiah Hicks,UNC,151,45,16.2,2.8,4.9,0.573,2.8,4.9,0.577,0,0,0.167,1.8,2.5,0.725,1.5,2.2,3.6,0.7,0.3,0.5,1.1,2.5,7.4,10.66,2018
Josh Jackson,South Carolina State,30,8,17.6,3.2,6.1,0.53,3.2,6.1,0.53,0,0,,1.5,2.6,0.577,1.6,3.1,4.7,1,0.2,0.4,2.3,1.9,8,,2018
Justin Jackson,Tennessee,6,3,1.3,0,0.3,0,0,0.3,0,0,0,,0,0.3,0,0.3,0.2,0.5,0,0,0,0,0.2,0,8.12,2018
Dakari Johnson,Kentucky,78,18,15.2,2.1,3.8,0.537,2.1,3.8,0.537,0,0,,1.6,2.9,0.559,1.9,2.4,4.3,0.5,0.3,0.8,0.9,1.9,5.8,9.28,2018
Mangok Mathiang,Louisville,114,44,18,1.8,3.6,0.506,1.8,3.6,0.506,0,0,,1.2,1.9,0.599,2.3,2.5,4.8,0.5,0.5,1.3,0.9,2.2,4.8,8.17,2018
Ben Moore,SMU,135,93,24.5,3.4,6.3,0.539,3.4,6.3,0.541,0,0,0.2,2.2,3.3,0.663,2.2,3.5,5.8,1.8,0.8,0.9,1.4,2.3,9,4.39,2018
Dennis Smith,Utah,3,,,1.3,2,0.667,1.3,2,0.667,0,0,,0.7,0.7,1,,,1.3,0,0,0,,,3.3,4.36,2018
Jameel Warney,Stony Brook,135,131,30.7,6.5,11,0.596,6.5,11,0.596,0,0,,2.7,4.6,0.592,3.5,5.9,9.4,1.6,0.8,2,1.4,2.1,15.8,-4.98,2018
Deyonta Davis,Michigan State,35,16,18.6,3.4,5.7,0.598,3.4,5.7,0.598,0,0,,0.7,1.1,0.605,2.1,3.4,5.5,0.7,0.3,1.8,0.9,2.3,7.5,6.94,2017
Cheick Diallo,Kansas,27,1,7.5,1.2,2.1,0.569,1.2,2.1,0.569,0,0,,0.6,1,0.556,0.6,1.9,2.5,0,0.3,0.9,0.6,1.4,3,11.22,2017
Brice Johnson,UNC,148,80,21,5,8.6,0.577,5,8.6,0.577,0,0,,2,2.8,0.715,2.1,4.9,7,0.9,0.8,1.1,1.3,2.5,11.9,9.72,2017
Daniel Ochefu,Villanova,141,110,21.7,2.9,4.8,0.6,2.9,4.7,0.604,0,0,0,1.5,2.4,0.622,2.1,4.5,6.6,1.3,0.8,1.3,1.6,2.3,7.2,8.32,2017
