year,id,Age,G,FG%,3P%,FT%,PS/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G
2018,kornelu01,22,66,0.382,0.36,0.807,6.9,3.0,1.2,0.5,0.8787878787878788,0.5606060606060606
2018,kuzmaky01,22,147,0.45299999999999996,0.335,0.731,17.3,5.9,2.2,0.6122448979591837,0.40816326530612246,1.8571428571428572
2018,leaftj01,20,111,0.511,0.35600000000000004,0.617,3.4,1.9,0.3,0.12612612612612611,0.2072072072072072,0.1981981981981982
2018,leeda03,25,47,0.423,0.32799999999999996,0.804,6.8,2.9,0.9,0.6808510638297872,0.02127659574468085,0.5319148936170213
2018,lemonwa01,25,11,0.43700000000000006,0.5,0.7140000000000001,9.4,2.6,3.2,1.0,0.18181818181818182,1.2727272727272727
2018,lydonty01,21,26,0.5,0.4,0.33299999999999996,0.9,0.7,0.2,0.07692307692307693,0.0,0.15384615384615385
2018,magetjo01,28,18,0.326,0.364,1.0,2.6,1.1,3.2,0.4444444444444444,0.05555555555555555,0.5
2018,markkla01,20,120,0.43200000000000005,0.36200000000000004,0.8590000000000001,16.7,8.2,1.3,0.6333333333333333,0.6083333333333333,1.4
2018,masonfr01,23,90,0.392,0.3,0.773,6.8,1.9,2.6,0.5555555555555556,0.15555555555555556,1.1222222222222222
2018,mathima01,25,4,0.5710000000000001,0.4242836158192093,0.0,2.0,2.5,0.0,0.25,0.0,0.0
2018,mccreer01,24,4,0.0,0.0,0.4242836158192093,0.0,0.3,0.0,0.25,0.0,0.25
2018,mckintr01,27,1,0.42428361581920937,0.4242836158192093,0.4242836158192093,0.0,0.0,0.0,0.0,0.0,0.0
2018,mckinal01,25,86,0.49,0.354,0.569,4.2,3.0,0.4,0.22093023255813954,0.18604651162790697,0.38372093023255816
2018,millema01,24,25,0.444,0.429,0.875,2.9,0.8,0.2,0.08,0.12,0.24
2018,mitchdo01,21,156,0.434,0.35100000000000003,0.805,22.1,3.9,3.9,1.435897435897436,0.3717948717948718,2.7756410256410255
2018,mitrona01,24,15,0.33299999999999996,0.25,1.0,1.3,0.4,1.0,0.06666666666666667,0.06666666666666667,0.5333333333333333
2018,monkma01,19,136,0.376,0.335,0.871,7.9,1.5,1.5,0.41911764705882354,0.20588235294117646,0.9926470588235294
2018,moorebe01,22,2,0.42428361581920937,0.4242836158192093,0.4242836158192093,0.0,0.5,0.5,0.0,0.0,0.0
2018,morrija01,22,10,0.405,0.231,0.5,3.8,2.1,1.1,0.4,0.1,0.7
2018,morrimo01,22,85,0.494,0.41200000000000003,0.807,10.1,2.3,3.6,0.8941176470588236,0.047058823529411764,0.6235294117647059
2018,motlejo01,22,33,0.534,0.111,0.574,6.0,3.0,0.5,0.24242424242424243,0.15151515151515152,0.7575757575757576
2018,naderab01,24,109,0.387,0.33299999999999996,0.667,3.6,1.7,0.4,0.3211009174311927,0.2018348623853211,0.5504587155963303
2018,ntilila01,19,121,0.354,0.305,0.735,5.9,2.2,3.1,0.7851239669421488,0.2644628099173554,1.5454545454545454
2018,onealro01,24,151,0.451,0.374,0.7879999999999999,5.1,3.5,1.5,0.5960264900662252,0.26490066225165565,0.8278145695364238
2018,ojelese01,23,129,0.382,0.318,0.613,3.0,1.9,0.3,0.24031007751937986,0.06201550387596899,0.34108527131782945
2018,osmande01,22,137,0.43700000000000006,0.35100000000000003,0.736,9.0,3.5,1.7,0.5985401459854015,0.10218978102189781,1.0656934306569343
2018,paigema01,24,5,0.28600000000000003,0.25,1.0,2.4,0.8,0.6,0.0,0.0,0.0
2018,pattoju01,20,4,0.33299999999999996,0.0,0.5,1.8,1.5,0.8,0.75,0.0,0.0
2018,paulbr01,26,64,0.433,0.278,0.512,2.3,1.1,0.6,0.390625,0.109375,0.453125
2018,perralo01,23,14,0.154,0.0,0.6,0.5,0.3,0.4,0.14285714285714285,0.07142857142857142,0.07142857142857142
2018,peteral01,22,20,0.37799999999999995,0.31,0.8,4.1,1.9,0.6,0.1,0.1,0.2
2018,pulleja01,28,3,0.5,0.0,0.4242836158192093,0.7,0.0,0.0,0.0,0.0,0.3333333333333333
2018,purviro01,23,16,0.327,0.25,0.867,6.0,1.7,1.1,0.1875,0.1875,0.625
2018,qizh01,22,19,0.212,0.105,0.667,1.3,1.2,0.1,0.10526315789473684,0.7368421052631579,0.5263157894736842
2018,rabbiv01,20,85,0.555,0.2,0.743,5.7,4.3,1.0,0.3411764705882353,0.3176470588235294,0.8235294117647058
2018,rathaxa01,23,5,0.28600000000000003,0.071,0.444,5.8,1.0,3.6,1.2,0.6,2.2
2018,reedda01,22,31,0.307,0.31,0.667,2.4,1.5,0.5,0.3548387096774194,0.06451612903225806,0.3548387096774194
2018,robinde01,22,8,0.5710000000000001,0.0,0.643,6.1,3.1,0.8,0.625,0.75,0.25
2018,simmobe01,21,160,0.5539999999999999,0.0,0.583,16.4,8.5,7.9,1.575,0.81875,3.45
2018,simmoko01,20,33,0.423,0.282,1.0,5.9,1.5,2.1,0.5454545454545454,0.15151515151515152,1.3333333333333333
2018,smithde03,20,122,0.40700000000000003,0.316,0.6679999999999999,14.5,3.4,5.0,1.1311475409836065,0.3114754098360656,2.8524590163934427
2018,sumneed01,22,24,0.354,0.259,0.625,2.8,1.0,0.4,0.5,0.20833333333333334,0.4166666666666667
2018,swanica01,20,48,0.37200000000000005,0.133,0.667,2.2,2.5,0.5,0.22916666666666666,0.08333333333333333,0.75
2018,tatumja01,19,159,0.461,0.4,0.84,14.8,5.5,1.9,1.050314465408805,0.7232704402515723,1.4842767295597483
2018,teodomi01,30,60,0.42,0.37799999999999995,0.8109999999999999,8.0,2.4,4.0,0.43333333333333335,0.1,1.9666666666666666
2018,theisda01,25,129,0.545,0.35200000000000004,0.745,5.5,3.9,1.0,0.3953488372093023,0.6976744186046512,0.689922480620155
2018,thornsi01,23,137,0.415,0.342,0.6890000000000001,2.5,1.3,0.6,0.45255474452554745,0.23357664233576642,0.5328467153284672
2018,wallaty01,23,92,0.435,0.237,0.674,5.5,2.2,1.2,0.5217391304347826,0.21739130434782608,0.8913043478260869
2018,waltode01,22,16,0.32,0.41200000000000003,1.0,1.8,1.0,1.0,0.4375,0.1875,0.125
2018,warneja01,24,3,0.583,0.4242836158192093,0.6,5.7,3.0,0.0,0.0,0.0,0.3333333333333333
2018,webbja01,24,10,0.25,0.21100000000000002,0.4242836158192093,1.6,2.4,0.4,0.1,0.0,0.4
2018,whitean01,24,15,0.342,0.36700000000000005,0.25,4.6,2.3,0.4,0.2,0.06666666666666667,0.5333333333333333
2018,whitede01,23,84,0.479,0.361,0.762,8.5,3.3,3.2,0.8452380952380952,0.5952380952380952,1.2261904761904763
2018,wileyja01,23,5,0.25,0.5,0.5,0.8,2.2,0.4,0.2,0.0,0.0
2018,willicj01,27,53,0.44799999999999995,0.287,0.765,4.7,1.2,1.0,0.6981132075471698,0.24528301886792453,0.4716981132075472
